지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),평균운량(1/10),합계 일조시간(hr),최심적설(cm),최심신적설(cm)
90,속초,2019-09,20.9,24.7,17.5,32.3,11.6,20190907,20190923,1013.6,1015.6,79,209.9,1.5,6.7,145.2,,
90,속초,2019-10,16.1,20,12.1,25,6.5,20191001,20191030,1016.7,1018.8,68,185.5,1.9,5.4,157.7,,
90,속초,2019-11,9.4,13.9,5.2,21.1,-1.2,20191105,20191120,1018.9,1021.1,57,157.3,1.8,4.4,186.9,,
93,북춘천,2016-10,14.1,20.9,8.6,29,-1.9,20161003,20161030,1008.2,1019.2,74,112.1,.9,5.4,185.3,,
93,북춘천,2016-11,5.1,11.2,-.5,19.5,-9.1,20161119,20161124,1011.4,1023.2,71,13.2,.9,4.8,147.4,.5,.5
93,북춘천,2016-12,-.2,5.3,-5,10.2,-12.1,20161205,20161216,1012.9,1025.1,74,83.1,.8,5.4,142.3,1,.5
93,북춘천,2017-01,-3.4,3.3,-9.8,11.6,-17,20170108,20170124,1013.1,1025.4,66,15.9,1.1,3.6,204.2,10.7,7.5
93,북춘천,2017-02,-1.5,5.4,-8.2,12.2,-15.7,20170228,20170202,1010.9,1023.1,64,11,1.2,3.1,214.9,8.3,0
93,북춘천,2017-03,4.6,12.2,-2.3,19,-8.3,20170319,20170308,1007.5,1019.4,59,17.9,1.3,4.3,212.4,,
93,북춘천,2017-04,13.2,21,5.6,29.1,-.8,20170430,20170403,1001.1,1012.5,55,54.1,1.9,4.4,257.3,,
93,북춘천,2017-05,18.6,26.2,11.3,30.7,6.7,20170520,20170508,1000.4,1011.5,56,25.5,1.8,4.2,280.1,,
93,북춘천,2017-06,22.3,29.6,15.8,35,9.2,20170623,20170611,997.1,1008.1,59,38.1,1.5,4.8,271.2,,
93,북춘천,2017-07,26.3,30.7,23,34.9,19.4,20170706,20170701,996.5,1007.3,78,477.8,1,7.7,126.4,,
93,북춘천,2017-08,24.4,29.6,20.5,37.5,13.9,20170805,20170831,997.1,1007.9,76,376.3,1.1,7.2,150.3,,
93,북춘천,2017-09,19.1,26.5,13,30.5,4.9,20170904,20170929,1002.4,1013.5,74,33.8,1.1,4.7,220.3,,
93,북춘천,2017-10,13.5,21,7.7,26.9,-3.7,20171008,20171031,1009.9,1021.4,74,42.6,1.1,5,196.9,,
93,북춘천,2017-11,3.2,9.9,-3,18.8,-10.2,20171108,20171119,1011,1022.9,67,15.9,1.2,4,185.3,2.9,2.9
93,북춘천,2017-12,-4.3,1.5,-10.3,8.6,-19,20171223,20171213,1013.5,1025.9,67,24.5,1.2,4.1,183.8,6.3,6.3
93,북춘천,2018-01,-6,.6,-11.8,8.6,-21.7,20180117,20180127,1011.9,1024.3,60,6.5,1.3,3.9,203,5,5
93,북춘천,2018-02,-3.4,3.6,-10.3,10.4,-19.2,20180226,20180207,1011.2,1023.4,53,33,1.5,3.6,214.2,7.6,7.6
93,북춘천,2018-03,7,13.8,.2,23.4,-8.2,20180329,20180302,1008.8,1020.6,61,32,1.8,4.6,204.3,,
93,북춘천,2018-04,12,19.5,4.9,29.2,-3,20180421,20180408,1004.2,1015.7,60,117.2,1.9,4.9,218.7,1.5,1.5
93,북춘천,2018-05,17.2,23.9,10.8,31,2.9,20180526,20180504,1000.3,1011.5,66,200.5,1.7,5.4,233.2,,
93,북춘천,2018-06,22.6,29.3,16.6,34.5,11.9,20180624,20180616,996.8,1007.7,63,88.6,1.5,5.6,252.8,,
93,북춘천,2018-07,26.3,31.8,21.7,37.6,13.7,20180722,20180708,998.1,1008.9,71,189.7,1.3,5,243.9,,
93,북춘천,2018-08,26.9,32.9,22.2,40.6,15.8,20180801,20180818,996.6,1007.4,69,354.6,1.3,6.1,223,,
93,북춘천,2018-09,19.1,25.7,13.4,29.5,6.5,20180904,20180925,1002.6,1013.8,72,63,1.1,5.4,205.5,,
93,북춘천,2018-10,10.3,17.9,4.4,25,-2.5,20181004,20181030,1007.7,1019.3,75,102.6,1.1,4.5,200.3,,
93,북춘천,2018-11,5.1,12.1,0,19.3,-7.3,20181103,20181123,1012.2,1024,75,56.9,.7,5.1,148.2,8.5,8.5
93,북춘천,2018-12,-3.2,3.4,-8.7,12,-16.9,20181204,20181228,1015.4,1027.7,62,17.3,1,3.9,194.9,2.6,2.6
93,북춘천,2019-01,-3.9,4.2,-10.9,8.3,-15.1,20190123,20190103,1013.8,1026.2,56,.2,1,3,228.9,,
93,북춘천,2019-02,-.6,5.9,-6.7,13.4,-13.6,20190227,20190201,1012.3,1024.4,59,27.5,.9,4.6,201.8,4,4
93,북춘천,2019-03,5,12.3,-1.8,18.3,-7.3,20190319,20190314,1005.4,1017.2,58,30.9,1.4,5.1,199.4,,
93,북춘천,2019-04,10.6,18.3,3.3,28.3,-5.1,20190422,20190401,1003.7,1015.2,57,49.7,1.5,5.2,205.8,,
93,북춘천,2019-05,18.3,26.6,10,33.3,2.6,20190524,20190507,1000.1,1011.3,55,31.4,1.6,4,298.6,,
93,북춘천,2019-06,21.4,27.8,15.5,33.1,9.9,20190627,20190611,996.1,1007.1,72,88.7,1.2,5.7,235,,
93,북춘천,2019-07,25,29.9,21,36.2,14.8,20190705,20190709,995.4,1006.2,78,252.2,1.2,7.4,140.5,,
93,북춘천,2019-08,25.6,31.2,21.2,36.5,16.1,20190805,20190831,996.1,1006.9,80,186.6,1.1,6,220.9,,
93,북춘천,2019-09,20.7,26.5,16.2,31.6,10.7,20190907,20190919,1004.4,1015.5,80,147.9,1.1,7.1,138.1,,
93,북춘천,2019-10,14,20.7,8.3,29.9,.2,20191001,20191030,1008.2,1019.6,78,48.4,1,5.7,189.2,,
93,북춘천,2019-11,4.9,11.9,-.6,20.3,-7.5,20191101,20191120,1011.5,1023.4,76,57.8,.9,5,167.3,.3,.3
95,철원,2015-11,6.6,11.5,2.4,18.1,-8,20151117,20151127,1005.2,1024.1,78,111.5,1.9,,101.1,,
95,철원,2015-12,-1.2,4.4,-6.1,10,-15.2,20151223,20151228,1006.4,1026,71,25.6,1,,168,,
95,철원,2016-01,-6,0,-12.2,8.2,-20.6,20160102,20160120,1005.8,1025.7,57,.9,1.3,,187.6,,
95,철원,2016-02,-2.2,4.1,-8.7,14.6,-17,20160211,20160202,1004.7,1024.3,54,54.1,1.5,,186.1,,
95,철원,2016-03,4.7,11.7,-2.4,21.4,-13.4,20160331,20160301,1002.5,1021.5,56,45.2,1.6,,236.3,,
95,철원,2016-04,12.6,20,5.2,25.6,-1.1,20160425,20160405,995.1,1013.4,54,88.8,2.2,,218.2,,
95,철원,2016-05,17.7,24.6,10.9,30.8,5.1,20160520,20160505,993.3,1011.2,62,149.9,1.9,,248.1,,
95,철원,2016-06,22.1,28,16.8,30.9,12,20160629,20160602,989.8,1007.3,69,27.1,1.6,,230.1,,
95,철원,2016-07,24.1,28.8,20.2,33.5,16.4,20160722,20160706,990.3,1007.7,83,460.5,1.6,,153.9,,
95,철원,2016-08,25.3,31,20.7,34.3,10.6,20160812,20160827,988.6,1005.9,80,63.7,1.5,,230.5,,
95,철원,2016-09,20.2,26.7,15.1,29.7,6.1,20160905,20160921,995.9,1013.7,76,32.2,1.5,,202.5,,
95,철원,2016-10,13.4,19.9,7.6,27.3,-4,20161004,20161030,1001.3,1019.6,74,173.1,1.3,,185.7,,
95,철원,2016-11,4.3,10.2,-1.2,18.6,-10.6,20161105,20161124,1004.4,1023.5,70,15.6,1.2,,142.8,,
95,철원,2016-12,-1.4,4.3,-6.6,11.8,-18.7,20161220,20161216,1005.8,1025.3,73,69.8,1,,135.1,,
95,철원,2017-01,-4.4,2,-10.4,9.9,-18.2,20170108,20170124,1006.1,1025.8,62,14.5,1.2,,196.9,,
95,철원,2017-02,-2.6,3.7,-9.2,10.6,-16.6,20170228,20170202,1004,1023.6,60,9.8,1.3,,201.3,,
95,철원,2017-03,3.5,10.8,-3.4,17.4,-9.4,20170319,20170308,1000.6,1019.7,58,21.5,1.3,,216,,
95,철원,2017-04,12.1,19.3,4.8,26.6,-2.4,20170430,20170402,994.4,1012.8,54,63.6,2,,248.1,,
95,철원,2017-05,17.7,24.4,10.9,28.9,5.9,20170503,20170506,993.8,1011.8,55,36,1.8,,277.6,,
95,철원,2017-06,21.3,27.7,15,32,8.7,20170616,20170611,990.6,1008.3,60,74.2,1.7,,272.3,,
95,철원,2017-07,25.5,29.7,22.1,33.6,18.1,20170706,20170701,989.9,1007.3,82,575.2,1.6,,119.9,,
95,철원,2017-08,23.6,28.5,19.5,33.8,11.7,20170803,20170830,990.3,1007.9,85,354.9,1.7,,145.9,,
95,철원,2017-09,18.8,25.8,12.6,28.9,3.9,20170926,20170929,995.5,1013.5,72,26.6,1.4,,171.6,,
95,철원,2017-10,12.8,20.2,6.5,26.8,-4.8,20171002,20171031,1003.1,1021.6,69,10.8,1.2,,195.4,,
95,철원,2017-11,2.7,8.7,-3.7,18.2,-11.5,20171102,20171119,1004,1023.3,67,33.5,1.3,,163.4,,
95,철원,2017-12,-4.9,.4,-10.8,8.5,-18.8,20171223,20171213,1006.4,1026.3,66,12.8,1.2,,171.3,,
95,철원,2018-01,-7.3,-1.2,-13.3,7.7,-25.2,20180117,20180126,1004.8,1025,62,7.9,1.1,,185.7,,
95,철원,2018-02,-4.4,2.1,-11.5,9.8,-21.1,20180226,20180207,1004.1,1024,52,14.4,1.5,,206.4,,
95,철원,2018-03,6.2,12.8,-.4,21.9,-10.8,20180329,20180302,1001.8,1020.9,64,33.6,2.1,,202.7,,
95,철원,2018-04,11.2,17.9,4.4,27.1,-3.5,20180420,20180408,997.4,1016,61,139.4,2.5,,203.6,,
95,철원,2018-05,16.8,22.8,10.9,29.5,5.7,20180515,20180503,993.5,1011.6,68,263.1,2.2,,231.4,,
95,철원,2018-06,21.7,27.8,16,32.3,12,20180625,20180616,990.1,1007.9,70,122.3,1.8,,232.2,,
95,철원,2018-07,25.4,30.4,21.3,36,14.7,20180728,20180708,991.6,1009.2,80,174.2,2,,234.6,,
95,철원,2018-08,26.3,31.8,21.8,38.4,15.4,20180801,20180818,990.1,1007.6,79,527,1.9,6,235.2,,
95,철원,2018-09,18.8,25.2,13,29.4,5.9,20180901,20180925,995.8,1013.9,77,55.4,1.5,4.9,206.9,,
95,철원,2018-10,9.9,17.2,3.7,24.6,-3.3,20181004,20181030,1000.8,1019.6,77,74.8,1.3,3.9,217.6,,
95,철원,2018-11,4.5,11.4,-1,18.6,-8.4,20181104,20181123,1005.1,1024.4,77,60.2,1,4.1,159,,
95,철원,2018-12,-4,2.6,-10.1,11.4,-18.6,20181222,20181228,1008.4,1028.4,62,8.3,1,4,190.8,,
95,철원,2019-01,-4.9,2.6,-12.5,7.6,-17.1,20190112,20190109,1006.9,1026.9,57,0,1.1,4,208.3,,
95,철원,2019-02,-1.7,5,-8.2,13.2,-15.2,20190223,20190201,1005.3,1025,63,20.6,1,4.9,205.6,,
95,철원,2019-03,4.5,11.3,-2.4,17.1,-7.9,20190319,20190314,998.4,1017.5,66,23.3,1.4,4.6,230.7,,
95,철원,2019-04,9.9,17.2,2.2,27.6,-5.8,20190422,20190401,996.7,1015.5,63,28,1.5,5.1,236.2,,
95,철원,2019-05,17.8,25.3,10,32.5,2.8,20190524,20190507,993.3,1011.4,59,26.4,1.5,3.9,340,,
95,철원,2019-06,20.9,26.9,15.3,32.1,10.3,20190627,20190611,989.5,1007.3,77,57.1,1.4,5.5,284.6,,
95,철원,2019-07,24.2,29.1,20.3,34.5,14.3,20190705,20190709,988.7,1006.2,84,305.3,1.6,6.7,211.8,,
95,철원,2019-08,24.8,30.1,20.4,35.1,15.6,20190806,20190830,989.5,1007,87,156.9,1.1,5.7,267.7,,
95,철원,2019-09,20,25.8,15.3,30.3,8.7,20190907,20190919,997.5,1015.5,86,199.1,1.3,6.9,201.4,,
95,철원,2019-10,13.7,20.3,7.6,27.8,-.9,20191001,20191030,1001.2,1019.7,82,30.8,1.2,5.1,227.7,,
