,mean_tem,min_tem,max_tem,mean_mintem,mean_maxtem,mean_seapre,sum_rain,daymax_rain,mean_humi,sum_suntime,per_suntime,mean_wind,per_tourist
62,13.1,-14.7,38.4,8.4,18.7,1016.9,1305.0,93.7,78.6,2391.5,53.72,1.6,6.6
63,13.0,-16.4,37.5,7.7,19.2,1016.9,1431.7,158.9,66.8,2418.1,54.33,1.7,6.6
64,11.1,-19.4,36.5,5.2,17.7,1016.9,1665.0,174.0,70.4,2194.7,49.3,1.7,6.6
65,12.8,-15.6,37.7,7.9,18.7,1016.5,1314.1,122.0,72.8,2176.8,49.02,2.0,6.6
66,13.1,-15.2,37.6,8.4,18.7,1017.0,1378.0,121.5,73.8,2548.7,57.27,2.1,10.0
67,14.8,-12.4,38.5,10.5,20.3,1017.0,1469.7,93.8,65.5,2567.9,58.0,2.1,11.2
68,12.8,-16.2,38.1,7.4,19.2,1017.2,1523.3,118.5,73.8,2523.4,56.7,1.4,6.6
69,14.4,-11.7,37.3,10.0,19.8,1016.5,1654.9,156.5,65.5,2360.3,53.05,1.5,11.2
70,14.8,-11.1,39.1,10.0,20.5,1017.5,1589.2,159.0,67.7,2282.9,51.3,2.3,11.2
71,14.1,-11.6,36.2,9.1,19.4,1017.0,1430.1,112.0,70.8,2502.0,56.21,,10.0
72,14.0,-12.7,37.4,9.3,19.5,1017.3,1634.5,241.0,71.9,2348.3,52.76,2.4,10.0
73,13.8,-13.2,36.8,8.5,19.5,1016.6,1410.9,146.3,74.7,2152.3,48.37,1.8,10.0
74,13.2,-14.0,36.6,7.9,19.0,1016.9,1297.1,157.8,75.1,2288.8,51.43,2.1,10.0
75,13.6,-12.6,35.7,8.5,19.1,1016.4,1458.8,155.5,73.7,2306.5,51.82,1.3,10.0
76,13.5,-14.4,38.7,7.6,20.4,1016.6,1561.6,262.0,70.0,2274.9,51.23,1.2,11.2
77,12.7,-16.0,37.8,6.7,19.6,1016.8,1666.7,162.0,75.9,2280.5,51.23,1.2,11.2
78,14.8,-11.3,37.6,10.7,19.8,1016.6,1695.0,180.0,65.7,2374.2,53.71,1.9,10.0
79,14.1,-9.5,35.5,9.8,18.5,1016.2,1589.5,305.0,75.4,2202.7,49.5,2.3,10.0
80,10.3,-21.7,37.8,4.0,17.4,1016.8,1290.7,115.5,66.7,2253.6,50.62,1.5,9.8
81,11.6,-19.0,38.0,5.9,17.6,1016.6,1591.5,121.0,62.1,2513.6,56.45,2.5,9.8
82,12.4,-16.7,38.1,7.0,18.4,1016.8,1360.1,82.5,56.9,2317.7,52.05,2.0,9.8
83,11.2,-19.8,38.1,5.3,18.1,1016.8,1139.7,95.5,68.4,2239.6,50.31,1.5,9.8
84,13.4,-14.6,39.9,8.6,18.9,1016.3,1365.4,220.5,62.5,2514.6,56.62,2.9,9.8
85,12.4,-19.2,40.4,5.7,20.2,1016.9,1079.4,88.5,64.7,2448.1,55.0,1.3,9.8
86,13.6,-14.6,38.1,8.5,19.3,1016.9,1410.1,114.6,70.0,2310.5,52.19,1.1,9.8
87,13.3,-14.8,39.1,7.6,19.8,1016.6,1149.8,94.0,61.3,2419.2,54.35,1.8,9.8
88,13.5,-13.0,39.8,8.1,19.7,1016.6,1303.7,151.5,69.3,2329.7,52.34,2.4,9.8
89,12.3,-16.4,37.1,6.2,19.1,1015.6,1215.6,92.4,70.6,2230.2,50.1,1.3,11.2
90,13.3,-15.2,39.5,7.3,20.3,1016.7,1479.4,182.5,65.6,2431.4,54.61,1.3,11.2
91,13.8,-13.7,38.9,8.2,20.3,1016.5,1337.0,197.0,65.6,2348.1,52.75,1.1,11.2
92,13.1,-14.6,37.9,7.8,19.5,1016.6,1601.5,252.5,68.7,2303.4,51.91,1.7,11.2
93,15.0,-8.3,37.8,11.0,19.8,1016.5,2507.6,201.5,72.5,2341.5,52.77,1.8,11.2
94,14.6,-9.9,36.8,10.3,19.7,1016.7,2203.6,225.5,68.2,2407.8,54.11,1.3,11.2
