,mean_tem,min_tem,max_tem,mean_mintem,mean_maxtem,mean_seapre,sum_rain,daymax_rain,mean_humi,sum_suntime,per_suntime,mean_wind,per_tourist
0,12.6,-16.2,38.7,8.5,16.9,1015.8,1777.0,226.2,61.7,2421.1,54.36,1.9,15.4
1,11.2,-21.7,40.6,5.3,17.9,1017.0,1261.9,189.5,65.6,2542.0,57.06,1.4,15.4
2,10.4,-25.2,38.4,4.6,16.7,1017.4,1480.6,384.3,69.1,2506.1,56.27,1.7,15.4
3,11.7,-20.4,38.7,6.4,18.4,1017.4,1500.0,279.6,61.0,2590.3,58.15,1.6,13.5
4,10.5,-23.5,37.6,4.9,17.1,1017.3,1009.5,73.0,73.0,2592.8,58.38,1.5,13.5
5,7.2,-24.4,32.9,2.0,12.5,1017.0,1731.4,81.5,71.9,2661.0,61.55,3.5,15.4
6,11.6,-21.6,39.5,6.4,17.6,1017.2,1401.5,170.7,69.2,2480.3,55.68,1.5,15.4
7,11.0,-13.7,32.8,8.3,14.1,1016.2,831.1,94.1,74.2,2219.0,51.29,3.9,3.9
8,12.7,-15.9,37.1,8.5,16.9,1015.8,1548.1,204.8,61.4,2461.6,55.26,1.8,15.4
9,13.7,-14.2,38.2,9.8,18.0,1016.0,1599.4,200.0,55.8,2582.5,57.98,2.4,15.4
10,13.2,-12.4,35.8,9.4,17.1,1015.8,1436.5,139.9,62.8,2416.4,54.26,2.1,15.4
11,12.9,-17.8,39.6,8.8,17.9,1016.9,1284.1,96.5,57.5,2580.7,58.54,1.7,5.2
12,12.5,-17.1,35.9,9.2,16.3,1016.8,1134.4,127.3,65.3,2715.5,60.98,3.1,3.9
13,12.4,-17.4,38.8,7.7,17.7,1016.7,1229.2,114.6,59.9,2413.9,54.21,1.1,15.4
14,13.0,-10.7,34.5,10.5,16.0,1015.7,1586.4,111.0,67.2,2289.9,51.43,4.1,9.8
15,12.7,-16.8,39.3,7.9,18.5,1017.2,1293.1,124.8,67.3,2605.5,58.52,1.8,13.5
16,11.5,-18.5,39.9,6.1,18.0,1017.0,1360.8,114.8,68.2,2300.6,51.67,1.1,15.4
17,12.0,-19.2,40.0,6.4,18.4,1017.4,1349.1,134.2,65.4,2348.3,52.74,1.5,4.2
18,12.2,-15.9,37.1,7.4,17.6,1017.5,1227.2,139.3,72.8,2660.0,59.74,1.9,9.0
19,13.0,-13.3,36.6,8.6,17.8,1016.2,1436.2,104.4,65.6,2383.6,53.54,2.6,9.8
20,13.5,-15.8,39.1,9.1,18.7,1016.8,1381.6,151.6,60.2,2640.8,59.47,1.7,4.2
21,13.5,-16.3,39.4,8.8,19.0,1017.2,1542.1,140.0,68.9,2542.1,57.11,1.5,3.1
22,11.9,-15.9,36.7,6.5,17.5,1016.9,1304.2,138.5,63.5,2527.8,56.78,2.8,4.2
23,12.7,-18.2,38.9,7.3,18.9,1016.7,1078.0,98.5,65.0,2698.4,60.6,1.6,9.8
24,13.1,-14.9,38.5,8.0,19.1,1016.8,1357.2,91.6,61.5,2401.1,53.94,1.6,9.8
25,14.8,-12.9,39.4,11.1,19.0,1016.5,1284.3,179.4,63.6,2595.4,58.31,2.8,9.8
26,13.2,-15.0,37.1,9.0,18.1,1017.0,1637.1,210.8,75.3,2566.9,57.66,2.0,6.6
27,14.1,-13.9,39.2,9.2,19.6,1016.6,1297.6,127.5,58.7,2495.3,56.06,2.2,2.3
28,13.9,-15.0,38.9,9.5,19.3,1016.9,1332.5,107.4,74.1,2461.6,55.3,1.7,6.6
29,14.3,-12.4,37.3,10.2,19.0,1016.2,1416.1,136.4,66.3,2579.9,57.96,2.2,9.8
30,14.2,-12.0,37.0,10.1,19.1,1016.3,1507.3,102.2,67.3,2298.6,53.18,1.6,11.2
31,14.6,-11.5,38.5,10.3,20.1,1016.9,1427.9,108.5,70.6,2372.5,53.32,1.6,1.5
32,15.1,-9.9,36.4,11.8,19.2,1016.2,1778.6,131.1,63.2,2667.8,60.15,3.2,7.2
33,14.8,-9.0,36.9,11.2,19.2,1016.6,2118.7,151.7,70.3,2400.0,54.37,2.4,11.2
34,14.4,-11.3,36.7,11.1,18.4,1017.0,1363.3,151.9,76.1,2397.5,53.88,3.4,10.0
35,14.9,-10.3,35.0,12.0,18.4,1016.3,1578.7,144.4,68.3,2570.3,57.76,3.9,10.0
36,13.8,-6.7,34.9,11.4,17.2,1016.6,1516.2,181.7,81.6,1830.1,41.23,5.1,10.0
37,14.8,-8.2,35.7,11.1,19.2,1016.7,1431.4,123.3,74.1,2210.1,49.66,2.4,10.0
38,13.3,-15.8,37.8,8.5,18.8,1017.2,1316.9,100.0,79.6,2394.3,53.8,2.7,6.6
39,12.7,-12.5,35.8,7.3,18.8,1016.5,1532.4,131.3,76.0,2290.5,51.48,1.8,10.0
40,12.2,-13.8,35.6,9.1,17.1,1016.6,1394.6,140.9,77.0,2206.8,49.76,4.3,10.0
41,12.4,-16.6,37.0,7.3,17.8,1016.9,1299.0,158.4,78.3,2556.2,57.41,1.5,9.0
42,16.6,-2.6,35.3,13.9,19.8,1016.7,1769.5,310.0,71.1,1939.7,43.6,3.1,5.0
43,16.1,-2.7,35.5,13.6,19.2,1016.1,1345.8,103.1,79.5,2237.6,50.3,,5.0
44,15.7,-3.8,34.7,12.3,19.3,1016.5,2146.7,181.0,74.0,2139.4,48.09,3.1,5.0
45,16.7,-3.0,33.5,13.9,20.0,1015.6,2166.2,199.1,78.7,2022.9,47.55,1.8,5.0
46,13.4,-14.3,37.9,7.7,19.8,1016.7,1605.4,165.8,65.1,2427.1,54.82,1.1,11.2
47,11.3,-19.0,35.4,6.5,16.4,1017.3,1072.3,147.5,66.0,2432.2,54.6,2.0,3.9
48,12.1,-19.9,40.1,6.8,18.2,1017.1,1355.4,130.5,63.2,2319.8,52.09,1.5,13.5
49,11.7,-19.2,39.4,6.0,18.3,1017.4,1425.5,168.4,64.5,2502.9,56.21,1.4,13.5
50,10.1,-21.3,37.7,4.8,16.5,1017.2,1214.3,171.5,65.3,2273.0,51.03,1.8,15.4
51,11.2,-21.7,41.0,5.6,18.0,1017.1,1348.6,158.5,67.3,2513.4,56.42,1.2,15.4
52,9.3,-20.1,35.7,4.2,14.8,1016.0,1489.3,102.5,66.9,2064.6,46.36,1.6,15.4
53,10.6,-20.1,39.6,5.4,17.2,1017.2,1420.9,84.5,65.7,1889.6,42.44,1.7,15.4
54,10.5,-21.3,39.4,4.5,17.4,1016.7,1409.3,130.0,66.9,2337.5,52.5,1.6,4.2
55,11.6,-19.7,38.2,5.7,18.5,1017.3,1409.5,117.0,70.4,2257.5,50.7,1.3,4.2
56,11.8,-20.6,37.8,6.2,18.0,1017.1,1163.4,120.1,65.3,2396.4,53.81,1.6,9.0
57,13.0,-14.8,36.4,8.8,17.6,1016.7,1337.2,196.2,76.0,2289.9,51.44,1.5,9.0
58,12.7,-16.6,39.3,7.3,19.1,1017.2,1457.9,187.0,71.4,2344.0,52.66,1.3,9.0
59,12.0,-17.5,38.8,6.2,18.6,1017.0,1397.2,168.5,68.3,2265.5,50.89,1.3,9.0
60,13.3,-14.6,38.0,8.8,18.8,1017.2,1359.0,159.0,71.1,2348.2,52.75,1.7,6.6
61,12.0,-20.0,37.5,6.0,18.8,1017.1,1468.2,131.5,71.3,2205.6,49.54,1.2,6.6
